drone_id,timestamp,latitude,longitude,altitude,drone_type,step
DJI-492696,2026-02-07 22:45:40,-33.958,151.218,50.0273,inspection,0
DJI-492696,2026-02-07 22:45:41,-33.958,151.2178,147.9179,inspection,1
DJI-492696,2026-02-07 22:45:42,-33.958,151.2175,48.8382,inspection,2
DJI-492696,2026-02-07 22:45:43,-33.958,151.2173,118.5042,inspection,3
DJI-492696,2026-02-07 22:45:44,-33.958,151.2171,86.61,inspection,4
DJI-492696,2026-02-07 22:45:45,-33.958,151.2168,112.8157,inspection,5
DJI-492696,2026-02-07 22:45:46,-33.958,151.2166,45.9196,inspection,6
DJI-492696,2026-02-07 22:45:47,-33.958,151.2163,111.8403,inspection,7
DJI-492696,2026-02-07 22:45:48,-33.958,151.2161,41.5019,inspection,8
DJI-492696,2026-02-07 22:45:49,-33.958,151.2159,64.6644,inspection,9
DJI-492696,2026-02-07 22:45:50,-33.958,151.2156,149.9333,inspection,10
DJI-492696,2026-02-07 22:45:51,-33.958,151.2154,53.723,inspection,11
DJI-492696,2026-02-07 22:45:52,-33.958,151.2151,41.095,inspection,12
DJI-492696,2026-02-07 22:45:53,-33.958,151.2149,124.7591,inspection,13
DJI-492696,2026-02-07 22:45:54,-33.958,151.2147,103.3278,inspection,14
DJI-492696,2026-02-07 22:45:55,-33.958,151.2144,146.4007,inspection,15
DJI-492696,2026-02-07 22:45:56,-33.958,151.2142,53.9553,inspection,16
DJI-492696,2026-02-07 22:45:57,-33.958,151.214,48.0074,inspection,17
DJI-492696,2026-02-07 22:45:58,-33.958,151.2137,101.222,inspection,18
DJI-492696,2026-02-07 22:45:59,-33.9582,151.2135,82.2583,inspection,19
DJI-492696,2026-02-07 22:46:00,-33.9587,151.2132,58.6296,inspection,20
DJI-492696,2026-02-07 22:46:01,-33.9593,151.213,142.3332,inspection,21
DJI-492696,2026-02-07 22:46:02,-33.9598,151.2128,112.4228,inspection,22
DJI-492696,2026-02-07 22:46:03,-33.9604,151.2125,128.0623,inspection,23
DJI-492696,2026-02-07 22:46:04,-33.9609,151.2123,138.4748,inspection,24
DJI-492696,2026-02-07 22:46:05,-33.9614,151.2121,50.7263,inspection,25
DJI-492696,2026-02-07 22:46:06,-33.962,151.2118,113.2876,inspection,26
DJI-492696,2026-02-07 22:46:07,-33.9625,151.2116,56.9374,inspection,27
DJI-492696,2026-02-07 22:46:08,-33.963,151.2113,76.7654,inspection,28
DJI-492696,2026-02-07 22:46:09,-33.9636,151.2111,48.5968,inspection,29
DJI-492696,2026-02-07 22:46:10,-33.9641,151.2109,71.6682,inspection,30
DJI-492696,2026-02-07 22:46:11,-33.9647,151.2106,125.3795,inspection,31
DJI-492696,2026-02-07 22:46:12,-33.9652,151.2104,74.0194,inspection,32
DJI-492696,2026-02-07 22:46:13,-33.9657,151.2102,31.1434,inspection,33
DJI-492696,2026-02-07 22:46:14,-33.9663,151.2099,42.0277,inspection,34
DJI-492696,2026-02-07 22:46:15,-33.9668,151.2097,131.7268,inspection,35
