drone_id,timestamp,latitude,longitude,drone_type,step,in_risk_zone,flight_deviation_deg,hovering_duration_s,sensor_orientation_deg,sensor_target,heading_deg,ground_speed_mps,threat_time_s
DJI-492696,2026-02-07 22:45:40,-33.958,151.218,inspection,0,0,0.0,1.0,206.2,Patrick Terminals,,0.0,0.0
DJI-492696,2026-02-07 22:45:41,-33.958,151.2178,inspection,1,0,0.0,0.0,205.6,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:42,-33.958,151.2175,inspection,2,0,0.0,0.0,204.7,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:43,-33.958,151.2173,inspection,3,0,0.0,0.0,204.2,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:44,-33.958,151.2171,inspection,4,0,0.0,0.0,203.6,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:45,-33.958,151.2168,inspection,5,0,0.0,0.0,202.7,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:46,-33.958,151.2166,inspection,6,0,0.0,0.0,202.1,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:47,-33.958,151.2163,inspection,7,0,0.0,0.0,201.2,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:48,-33.958,151.2161,inspection,8,0,0.0,0.0,200.5,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:49,-33.958,151.2159,inspection,9,0,0.0,0.0,199.9,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:50,-33.958,151.2156,inspection,10,0,0.0,0.0,199.0,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:51,-33.958,151.2154,inspection,11,0,0.0,0.0,198.4,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:52,-33.958,151.2151,inspection,12,0,0.0,0.0,197.4,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:53,-33.958,151.2149,inspection,13,0,0.0,0.0,196.8,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:54,-33.958,151.2147,inspection,14,0,0.0,0.0,196.1,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:55,-33.958,151.2144,inspection,15,0,0.0,0.0,195.1,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:56,-33.958,151.2142,inspection,16,0,0.0,0.0,194.5,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:57,-33.958,151.214,inspection,17,0,0.0,0.0,193.8,Patrick Terminals,270.0,18.45,0.0
DJI-492696,2026-02-07 22:45:58,-33.958,151.2137,inspection,18,0,0.0,0.0,192.8,Patrick Terminals,270.0,27.67,0.0
DJI-492696,2026-02-07 22:45:59,-33.9582,151.2135,inspection,19,0,50.33,0.0,192.3,Patrick Terminals,219.7,28.89,0.0
DJI-492696,2026-02-07 22:46:00,-33.9587,151.2132,inspection,20,0,13.22,0.0,191.7,Patrick Terminals,206.5,62.1,0.0
DJI-492696,2026-02-07 22:46:01,-33.9593,151.213,inspection,21,0,11.0,0.0,191.5,Patrick Terminals,195.5,69.22,0.0
DJI-492696,2026-02-07 22:46:02,-33.9598,151.2128,inspection,22,0,2.9,0.0,191.2,Patrick Terminals,198.4,58.58,0.0
DJI-492696,2026-02-07 22:46:03,-33.9604,151.2125,inspection,23,0,4.17,0.0,190.6,Patrick Terminals,202.5,72.23,0.0
DJI-492696,2026-02-07 22:46:04,-33.9609,151.2123,inspection,24,0,4.17,0.0,190.2,Patrick Terminals,198.4,58.58,0.0
DJI-492696,2026-02-07 22:46:05,-33.9614,151.2121,inspection,25,0,0.0,0.0,189.8,Patrick Terminals,198.4,58.58,0.0
DJI-492696,2026-02-07 22:46:06,-33.962,151.2118,inspection,26,0,4.17,0.0,188.9,Patrick Terminals,202.5,72.23,0.0
DJI-492696,2026-02-07 22:46:07,-33.9625,151.2116,inspection,27,0,4.17,0.0,188.4,Patrick Terminals,198.4,58.58,0.0
DJI-492696,2026-02-07 22:46:08,-33.963,151.2113,inspection,28,1,8.1,0.0,187.2,Patrick Terminals,206.5,62.1,1.0
DJI-492696,2026-02-07 22:46:09,-33.9636,151.2111,inspection,29,1,11.0,0.0,186.6,Patrick Terminals,195.5,69.22,2.0
DJI-492696,2026-02-07 22:46:10,-33.9641,151.2109,inspection,30,1,2.9,0.0,185.8,Patrick Terminals,198.4,58.58,3.0
DJI-492696,2026-02-07 22:46:11,-33.9647,151.2106,inspection,31,1,4.17,0.0,184.2,Patrick Terminals,202.5,72.23,4.0
DJI-492696,2026-02-07 22:46:12,-33.9652,151.2104,inspection,32,1,4.17,0.0,183.0,Patrick Terminals,198.4,58.58,5.0
DJI-492696,2026-02-07 22:46:13,-33.9657,151.2102,inspection,33,1,0.0,0.0,181.6,Patrick Terminals,198.4,58.58,6.0
DJI-492696,2026-02-07 22:46:14,-33.9663,151.2099,inspection,34,1,4.17,0.0,179.1,Patrick Terminals,202.5,72.23,7.0
DJI-492696,2026-02-07 22:46:15,-33.9668,151.2097,inspection,35,1,4.17,0.0,177.0,Patrick Terminals,198.4,58.58,8.0
DJI-492696,2026-02-07 22:46:16,-33.9673,151.2094,inspection,36,1,8.1,0.0,173.2,Patrick Terminals,206.5,62.1,9.0
DJI-492696,2026-02-07 22:46:17,-33.9679,151.2092,inspection,37,1,11.0,0.0,169.6,Patrick Terminals,195.5,69.22,10.0
DJI-492696,2026-02-07 22:46:18,-33.9684,151.209,inspection,38,1,2.9,0.0,165.0,Patrick Terminals,198.4,58.58,11.0
DJI-492696,2026-02-07 22:46:19,-33.969,151.2087,inspection,39,1,4.17,0.0,156.7,Patrick Terminals,202.5,72.23,12.0
DJI-492696,2026-02-07 22:46:20,-33.9695,151.2085,inspection,40,1,4.17,0.0,148.1,Patrick Terminals,198.4,58.58,13.0
DJI-492696,2026-02-07 22:46:21,-33.9696,151.2086,inspection,41,1,58.02,0.0,148.6,Patrick Terminals,140.3,14.45,14.0
DJI-492696,2026-02-07 22:46:22,-33.9696,151.2087,inspection,42,1,50.33,1.0,150.4,Patrick Terminals,90.0,9.22,15.0
DJI-492696,2026-02-07 22:46:23,-33.9697,151.2088,inspection,43,1,50.33,0.0,151.1,Patrick Terminals,140.3,14.45,16.0
DJI-492696,2026-02-07 22:46:24,-33.9698,151.2089,inspection,44,1,0.0,0.0,151.8,Patrick Terminals,140.3,14.45,17.0
